name,Band,average,max_error,maximum,median,minimum,p80_threshold,p85_threshold,p90_threshold,sigma,total,date
world,3_bands_model_chl_conc,12.8323,0.0231,26.5971,12.8952,3.4911,14.9517,15.4138,16.0839,2.9408,2559,2022-10-07
world,MCI,0.0,0.0,0.0019,-0.0,-0.0,-0.0,-0.0,-0.0,0.0001,34254,2022-10-07
world,conc_chl,14.9729,0.0346,34.6434,14.3088,0.0019,18.5351,20.3711,25.0823,6.7115,2559,2022-10-07
world,conc_tsm,2.869,0.0158,15.8134,2.4614,0.0122,4.4839,4.9422,5.4952,1.9014,2559,2022-10-07
world,empirical_2_bands_equation1,21.6171,0.0408,41.7606,21.9678,0.9507,25.0286,25.7631,26.9874,5.0381,2559,2022-10-07
world,empirical_2_bands_equation2,13.6341,0.0244,24.1215,13.9564,-0.2554,15.809,16.2234,16.8085,3.1108,2559,2022-10-07
world,empirical_3_bands_equation1,15.8202,0.0128,22.557,15.9126,9.8039,17.0094,17.2517,17.6216,1.6664,2559,2022-10-07
world,empirical_3_bands_equation3,13.4365,0.0194,24.534,13.5109,5.1613,15.1964,15.5644,16.165,2.478,2559,2022-10-07
world,3_bands_model_chl_conc,9.7746,0.0215,23.9844,9.4274,2.4822,13.5343,14.0289,14.5664,3.5685,2555,2022-10-22
world,MCI,0.0,0.0,0.0024,-0.0,-0.0,-0.0,-0.0,-0.0,0.0001,34254,2022-10-22
world,conc_chl,11.852,0.0365,36.5458,12.0761,0.0238,17.8831,18.6135,19.5996,6.3282,2555,2022-10-22
world,conc_tsm,3.3371,0.0216,21.5777,2.4406,0.0269,5.6516,6.4275,7.2464,2.6855,2555,2022-10-22
world,empirical_2_bands_equation1,13.1632,0.0349,37.2097,13.4834,2.2667,19.3888,19.9828,20.6817,6.1011,2555,2022-10-22
world,empirical_2_bands_equation2,8.841,0.022,22.5847,9.0669,0.5687,13.4701,13.9104,14.3947,4.4777,2555,2022-10-22
world,empirical_3_bands_equation1,13.7407,0.0119,21.422,13.664,9.4866,16.0033,16.2778,16.5523,2.1639,2555,2022-10-22
world,empirical_3_bands_equation3,10.4544,0.0177,22.508,10.2362,4.7742,13.6589,14.0667,14.4746,3.0582,2555,2022-10-22
world,3_bands_model_chl_conc,8.8066,0.0192,22.2508,9.0721,3.0118,10.7843,11.0922,11.5539,2.7011,2672,2022-11-01
world,MCI,0.0,0.0,0.0016,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,34254,2022-11-01
world,conc_chl,10.6505,0.0313,31.2836,9.3853,0.0003,19.7401,21.4607,23.1187,8.5411,2672,2022-11-01
world,conc_tsm,0.7971,0.015,15.0171,0.7483,0.0131,0.9434,1.0184,1.1384,0.7002,2672,2022-11-01
world,empirical_2_bands_equation1,15.607,0.0348,35.9687,15.9481,1.1503,19.4648,20.2308,21.2057,5.0231,2672,2022-11-01
world,empirical_2_bands_equation2,9.5131,0.0217,21.5583,9.945,-0.1082,12.0684,12.48,13.0217,3.3058,2672,2022-11-01
world,empirical_3_bands_equation1,13.5431,0.0108,20.6619,13.7634,9.8662,14.789,14.9942,15.2749,1.6452,2672,2022-11-01
world,empirical_3_bands_equation3,10.132,0.0159,21.1844,10.3726,5.2378,11.8397,12.1427,12.5573,2.3032,2672,2022-11-01
world,3_bands_model_chl_conc,12.6166,0.0218,25.0746,12.9136,3.3196,15.4372,16.1768,17.0905,3.8208,1297,2022-11-04
world,MCI,0.0,0.0,0.0009,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,34254,2022-11-04
world,conc_chl,11.4901,0.0326,32.5588,9.9958,0.0004,21.2936,23.2145,25.8192,9.4585,1297,2022-11-04
world,conc_tsm,1.1144,0.0098,9.8263,0.8002,0.0153,1.4477,1.7715,2.1541,0.9718,1297,2022-11-04
world,empirical_2_bands_equation1,21.6068,0.0347,37.5067,22.1759,2.8216,26.0259,27.0665,28.5233,5.7295,1297,2022-11-04
