name,Band,average,max_error,maximum,median,minimum,p80_threshold,p85_threshold,p90_threshold,sigma,total,date
world,3_bands_model_chl_conc,11.4282,0.023,26.2689,12.3727,3.2238,14.2624,14.6772,15.115,3.7147,794,2022-10-07
world,MCI,0.0,0.0,0.001,-0.0,-0.0,-0.0,-0.0,-0.0,0.0001,8800,2022-10-07
world,conc_chl,10.0543,0.0198,19.7945,10.6735,0.0091,13.0873,14.6107,16.3123,4.918,794,2022-10-07
world,conc_tsm,2.229,0.0097,9.7472,1.88,0.0106,3.7592,4.2849,4.7815,1.7885,794,2022-10-07
world,empirical_2_bands_equation1,18.7129,0.0384,39.3036,20.9567,0.9211,24.0657,24.5647,25.3707,7.5726,794,2022-10-07
world,empirical_2_bands_equation2,11.712,0.0242,23.9377,13.3799,-0.2774,15.196,15.6077,16.092,5.0546,794,2022-10-07
world,empirical_3_bands_equation1,14.9324,0.0127,22.4177,15.6028,9.7506,16.6415,16.8822,17.0975,2.3338,794,2022-10-07
world,empirical_3_bands_equation3,12.1815,0.0192,24.2822,13.0391,5.096,14.6124,14.9961,15.3414,3.2872,794,2022-10-07
world,kd_z90max,6.5798,0.0799,80.3672,1.1982,0.4792,1.9172,3.2752,16.0573,15.8622,794,2022-10-07
world,3_bands_model_chl_conc,9.4537,0.0164,19.0839,9.3586,2.6561,12.907,13.4327,14.172,3.4581,807,2022-10-22
world,MCI,0.0,0.0,0.0019,-0.0,-0.0,-0.0,-0.0,-0.0,0.0001,8800,2022-10-22
world,conc_chl,8.9764,0.0207,20.7619,9.0907,0.0315,12.9466,13.4026,13.755,4.476,807,2022-10-22
world,conc_tsm,2.7458,0.0151,15.0683,1.8065,0.0151,4.772,5.4343,6.5934,2.4714,807,2022-10-22
world,empirical_2_bands_equation1,12.7391,0.0271,28.1829,13.5354,1.1081,18.5172,19.2211,19.9251,5.9753,807,2022-10-22
world,empirical_2_bands_equation2,8.5042,0.0187,18.5833,9.0721,-0.1395,12.8915,13.2847,13.94,4.4218,807,2022-10-22
world,empirical_3_bands_equation1,13.559,0.0095,18.9616,13.6097,9.4724,15.6689,15.9346,16.3141,2.1141,807,2022-10-22
world,empirical_3_bands_equation3,10.1944,0.0136,18.3189,10.1682,4.757,13.1518,13.5451,14.1147,2.9602,807,2022-10-22
world,kd_z90max,3.8323,0.0729,73.539,2.1037,0.6459,4.2176,4.7279,5.311,6.9652,807,2022-10-22
world,3_bands_model_chl_conc,8.1367,0.0161,18.9207,8.5366,2.8213,10.5007,10.8227,11.2091,2.8848,816,2022-11-01
