idate,average,max_error,maximum,median,minimum,p80_threshold,p85_threshold,p90_threshold,sigma
20221007,14.9729,0.0346,34.6434,14.3088,0.0019,18.5351,20.3711,25.0823,6.7115
20221022,11.852,0.0365,36.5458,12.0761,0.0238,17.8831,18.6135,19.5996,6.3282
20221101,10.6505,0.0313,31.2836,9.3853,0.0003,19.7401,21.4607,23.1187,8.5411
20221104,11.4901,0.0326,32.5588,9.9958,0.0004,21.2936,23.2145,25.8192,9.4585
20230118,8.3385,0.0365,36.505,3.4683,0.0004,18.4352,20.7715,23.4729,9.0898
20230207,17.3361,0.0393,39.4271,15.784,0.1529,25.524,27.9983,30.0798,8.5377
20230209,,,,,,,,,
20230214,3.3422,0.0289,28.9403,2.3156,0.0004,5.2095,6.0777,7.6405,3.3894
20230227,13.0126,0.0431,43.1114,9.183,0.0003,23.2372,27.4621,31.3421,10.6704
20230403,16.673,0.0405,40.4594,16.3057,0.0009,23.4264,24.7211,27.2295,8.1072
20230405,2.0773,0.029,28.9931,1.1312,0.0005,2.7548,3.4216,4.3494,2.7325
20230408,13.429,0.0365,36.5132,11.3926,0.0007,20.2651,22.6019,26.0706,8.0742
20230503,3.3902,0.0299,30.0727,2.4466,0.2066,4.2684,4.9553,5.7916,3.2903
20230520,0.441,0.0106,10.6162,0.3824,0.0002,0.5416,0.5841,0.616,0.6088
20230525,0.3585,0.0184,18.4398,0.2408,0.0011,0.3515,0.3883,0.4068,0.9139
20230528,7.664,0.0248,24.8603,6.8493,0.0517,13.5972,14.8625,15.5323,6.0244
20230530,,,,,,,,,
20230602,10.1566,0.0315,31.4625,7.9301,0.0021,18.0918,20.6401,22.7794,8.392
20230604,0.4205,0.0128,12.8398,0.3726,0.0003,0.5524,0.5781,0.6166,0.45
20230607,5.9743,0.0281,28.1078,2.8116,0.0009,12.115,14.9256,17.5677,6.8555
20230614,0.485,0.0136,13.6082,0.3964,0.0018,0.6005,0.6413,0.6821,0.7194
20230821,10.8303,0.0369,36.946,7.9843,0.0051,16.924,19.8793,23.3887,7.8927
20230902,0.3363,0.0215,21.5139,0.2158,0.0007,0.3449,0.3664,0.431,0.8991
20230907,0.3174,0.0228,22.8104,0.1601,0.0004,0.2513,0.2969,0.3882,1.0614
20230910,14.3027,0.0332,33.4369,12.8967,0.2002,20.5411,22.7679,25.161,6.9673
20230915,14.7073,0.0399,40.0675,14.5979,0.209,20.2578,21.4137,22.5298,6.2507
20230925,27.1753,0.0332,37.257,28.7463,4.0118,33.7331,34.4312,35.0629,7.1462
