idate,average,max_error,maximum,median,minimum,p80_threshold,p85_threshold,p90_threshold,sigma
20221007,2.869,0.0158,15.8134,2.4614,0.0122,4.4839,4.9422,5.4952,1.9014
20221022,3.3371,0.0216,21.5777,2.4406,0.0269,5.6516,6.4275,7.2464,2.6855
20221101,0.7971,0.015,15.0171,0.7483,0.0131,0.9434,1.0184,1.1384,0.7002
20221104,1.1144,0.0098,9.8263,0.8002,0.0153,1.4477,1.7715,2.1541,0.9718
20230118,1.5772,0.0132,13.1772,1.2557,0.0189,2.0979,2.4005,2.94,1.1869
20230207,2.2195,0.0143,14.4733,1.8723,0.1377,3.2342,3.736,4.4241,1.5819
20230209,,,,,,,,,
20230214,0.3552,0.013,13.0346,0.178,0.0087,0.4255,0.5037,0.5949,0.8454
20230227,2.2916,0.0167,16.7003,1.7303,0.0485,3.6619,4.1948,4.711,1.6935
20230403,1.3673,0.0137,13.753,1.2139,0.019,1.8731,1.9555,2.0517,1.0483
20230405,0.1903,0.0105,10.5379,0.1087,0.014,0.2034,0.235,0.2981,0.4582
20230408,0.8436,0.0143,14.3263,0.6039,0.0172,1.1619,1.3193,1.5483,0.9924
20230503,0.6393,0.0077,7.859,0.571,0.1223,0.8186,0.8728,1.0043,0.4946
20230520,0.416,0.0029,2.9392,0.3651,0.0107,0.5232,0.5671,0.6345,0.2445
20230525,0.1359,0.0086,8.6091,0.0759,0.0071,0.1275,0.1533,0.1792,0.4199
20230528,1.2436,0.008,8.0197,1.0558,0.0428,1.6302,1.7418,1.9732,1.2134
20230530,,,,,,,,,
20230602,1.0631,0.0109,10.9722,0.6747,0.0291,1.5502,1.7034,2.1739,1.3245
20230604,0.3972,0.011,10.9762,0.3648,0.014,0.5073,0.5511,0.595,0.3014
20230607,0.9715,0.0176,17.6632,0.6149,0.0149,1.462,1.7091,2.0268,1.2305
20230614,0.5126,0.0115,11.557,0.4879,0.0147,0.6033,0.6264,0.6841,0.4121
20230821,0.8108,0.0126,12.6558,0.7101,0.0148,0.9629,1.064,1.241,0.689
20230902,0.1275,0.0116,11.5896,0.0798,0.0103,0.1377,0.1609,0.184,0.3713
20230907,0.2592,0.0125,12.4741,0.1947,0.0077,0.2944,0.3318,0.3817,0.5043
20230910,1.1025,0.0223,22.4256,1.0033,0.1339,1.2262,1.3154,1.4491,0.643
20230915,1.8335,0.016,16.1522,1.7278,0.1606,2.2715,2.5434,2.8632,1.0547
20230925,0.9802,0.0147,15.1318,0.8526,0.4262,1.1467,1.2203,1.2938,0.5412
