idate,average,max_error,maximum,median,minimum,p80_threshold,p85_threshold,p90_threshold,sigma
20221007,101.7633,0.574,574.0132,80.3634,0.0018,129.1543,148.0967,176.7973,69.7856
20221022,76.8449,0.3953,406.311,74.6611,11.0191,88.4963,92.0539,97.1927,22.2354
20221101,49.643,0.5606,560.6115,22.9867,0.0017,77.9265,93.063,118.851,70.8449
20221104,76.0642,0.5441,544.098,32.6475,0.0017,121.3352,166.4952,226.8899,101.1284
20230118,32.7442,0.5757,575.6549,2.88,0.0018,47.781,63.3236,94.4089,67.6287
20230207,22.2234,0.4415,441.4534,16.7769,0.0017,27.3717,31.7862,39.7324,35.2061
20230214,44.7829,0.5237,523.6771,11.5226,0.0017,63.8901,92.6923,137.2047,77.0494
20230227,46.4192,0.6143,614.3045,28.2597,0.0017,60.8177,71.2608,92.7614,69.7871
20230403,20.3796,0.3046,304.5882,14.9265,0.0017,24.9778,28.9374,35.3337,26.8814
20230405,32.7452,0.5276,527.5612,12.1356,0.0017,24.797,34.2931,64.364,74.7558
20230408,17.1661,0.4081,408.1296,6.1236,0.0017,22.4488,26.9382,34.2845,36.414
20230503,21.753,0.3381,338.1402,20.2901,0.0018,31.7868,34.4919,36.5207,17.4484
20230520,14.8736,0.531,531.0469,6.3743,0.0017,12.2158,13.8089,17.5262,45.3687
20230525,26.7605,0.6227,622.7078,2.4926,0.0017,17.4375,19.3056,47.9501,76.5532
20230528,3.8601,0.0621,62.1408,0.1261,0.0018,3.2952,7.0856,9.944,9.6417
20230602,22.216,0.5136,513.5547,4.1102,0.0017,19.5167,24.6523,30.8149,66.7058
20230604,19.3438,0.451,451.0078,7.6688,0.0017,13.9829,16.6889,23.454,53.9836
20230607,6.6327,0.389,388.9741,0.3907,0.0017,7.7812,13.2268,16.7276,25.6295
20230614,17.1045,0.5292,529.17,8.4684,0.0017,15.8768,20.1101,30.6935,40.659
20230821,14.2703,0.4832,483.2259,8.6998,0.0017,19.8139,22.7133,27.0623,26.2182
20230902,11.2454,0.4713,471.2563,0.9442,0.0017,8.0131,11.3118,18.3807,39.7149
20230907,16.2928,0.5206,520.604,4.1665,0.0017,13.5374,17.1816,29.1555,44.7974
20230910,21.3785,0.2945,294.4763,18.5537,0.0018,27.9768,30.6271,35.9277,20.3763
20230915,26.0243,0.3502,350.2331,21.3658,0.0017,30.8221,34.6746,42.73,21.1578
20230925,13.9287,0.1219,121.871,10.6044,0.0018,23.8881,25.9599,29.2504,12.4453
