idate,average,max_error,maximum,median,minimum,p80_threshold,p85_threshold,p90_threshold,sigma,0,1,2,3,4,5,6,7,8,9
,,,,,,,,,,20221007,,,,,,,,,
,,,,,,,,,,,8.4835,0.0969,97.0787,7.4115,0.1412,11.8706,13.1308,14.6818,5.8619
,,,,,,,,,,20221022,,,,,,,,,
,,,,,,,,,,,22.8612,0.218,219.0901,21.1377,1.0809,27.46,28.986,31.8202,11.2031
,,,,,,,,,,20221101,,,,,,,,,
,,,,,,,,,,,1.7997,0.1596,159.7253,0.7346,0.0961,1.852,2.1713,2.8098,6.4245
,,,,,,,,,,20221104,,,,,,,,,
,,,,,,,,,,,2.9916,0.2062,206.2493,0.9223,0.0977,2.7776,3.8084,5.6638,9.4225
,,,,,,,,,,20230118,,,,,,,,,
,,,,,,,,,,,1.9917,0.1758,175.8762,0.2487,0.0729,0.7761,1.3035,2.0067,9.2123
,,,,,,,,,,20230207,,,,,,,,,
,,,,,,,,,,,2.9916,0.3666,366.674,0.0979,0.0979,0.8311,1.1976,1.9308,22.222
,,,,,,,,,,20230209,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,20230214,,,,,,,,,
,,,,,,,,,,,3.7831,0.3377,337.7577,0.7786,0.1032,2.8045,3.4798,5.5057,19.2941
,,,,,,,,,,20230227,,,,,,,,,
,,,,,,,,,,,3.7859,0.2922,292.295,0.6643,0.0799,3.002,4.1709,6.8008,12.2885
,,,,,,,,,,20230403,,,,,,,,,
,,,,,,,,,,,4.8466,0.3862,386.3247,0.4885,0.1023,2.4196,3.5783,5.1232,26.9285
,,,,,,,,,,20230405,,,,,,,,,
,,,,,,,,,,,7.0868,0.3442,344.3402,0.46,0.1158,1.4926,2.5253,5.2791,34.1341
,,,,,,,,,,20230408,,,,,,,,,
,,,,,,,,,,,4.2706,0.3495,349.5942,0.1135,0.1135,0.8124,1.1619,2.5598,24.7022
,,,,,,,,,,20230503,,,,,,,,,
,,,,,,,,,,,2.0702,0.2998,299.9259,0.1687,0.1687,0.4684,0.4684,0.4684,16.8437
,,,,,,,,,,20230520,,,,,,,,,
,,,,,,,,,,,16.8017,0.3591,359.2377,0.8528,0.1346,1.9301,3.3665,7.6758,64.5589
,,,,,,,,,,20230525,,,,,,,,,
,,,,,,,,,,,19.0116,0.4478,447.9599,1.0265,0.1309,4.1613,11.7744,28.7919,58.453
,,,,,,,,,,20230528,,,,,,,,,
,,,,,,,,,,,6.6947,0.1975,197.6612,0.3212,0.1237,2.0991,4.272,16.7169,22.3467
,,,,,,,,,,20230530,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,20230602,,,,,,,,,
,,,,,,,,,,,11.0862,0.3512,351.3377,0.4626,0.1114,1.5163,2.57,5.3798,50.8366
,,,,,,,,,,20230604,,,,,,,,,
,,,,,,,,,,,16.8124,0.348,348.1027,0.4957,0.1478,2.2355,5.0191,13.0221,62.0543
,,,,,,,,,,20230607,,,,,,,,,
,,,,,,,,,,,12.8243,0.3489,349.0406,0.4755,0.1266,2.569,4.3136,14.4321,47.2575
,,,,,,,,,,20230614,,,,,,,,,
,,,,,,,,,,,8.9242,0.3544,354.5589,0.8511,0.1423,1.9143,2.6232,4.3953,44.353
,,,,,,,,,,20230821,,,,,,,,,
,,,,,,,,,,,2.3828,0.1986,198.6917,0.5254,0.1282,1.3196,1.9153,2.9081,9.7723
,,,,,,,,,,20230902,,,,,,,,,
,,,,,,,,,,,7.1069,0.409,409.1815,0.5443,0.1352,2.5895,3.8167,7.9071,29.5984
,,,,,,,,,,20230907,,,,,,,,,
,,,,,,,,,,,10.8311,0.3761,376.2532,0.9002,0.148,3.909,6.1657,10.3028,42.8475
,,,,,,,,,,20230910,,,,,,,,,
,,,,,,,,,,,1.6307,0.1267,126.8646,0.3978,0.1444,0.9047,1.2849,2.0452,6.0118
,,,,,,,,,,20230915,,,,,,,,,
,,,,,,,,,,,3.0141,0.346,346.0939,0.821,0.1291,3.2428,4.2807,5.6645,9.2038
,,,,,,,,,,20230925,,,,,,,,,
,,,,,,,,,,,0.5871,0.0541,54.2124,0.3383,0.1219,0.4465,0.5006,0.6087,2.0706
