idate,average,max_error,maximum,median,minimum,p80_threshold,p85_threshold,p90_threshold,sigma
20221007,15.1681,0.0343,34.3305,14.7637,0.0028,18.2651,19.7069,23.1053,5.9658
20221022,12.5772,0.0361,36.1549,13.9284,0.0143,18.3376,18.9158,19.5302,6.1139
20221101,12.8639,0.0312,31.1982,13.2907,0.0004,21.3397,22.5564,24.2099,8.4964
20221104,13.5831,0.0329,32.9218,13.1031,0.0004,23.605,25.8766,27.9506,9.7763
20230118,12.8657,0.0377,37.7331,9.2452,0.0008,23.8099,25.8097,28.3378,10.1227
20230207,16.4015,0.0382,38.3839,14.4879,0.2113,23.9165,26.0923,28.23,7.8278
20230214,4.6689,0.0306,30.5642,4.0042,0.0004,6.8467,7.6413,8.925,3.5953
20230227,16.4097,0.045,45.0224,11.6162,0.0005,27.644,31.6509,35.0276,10.934
20230403,15.9478,0.04,40.0509,15.3804,0.0014,22.5092,23.5505,25.3927,7.8016
20230405,1.7559,0.0305,30.4795,0.9147,0.0004,2.0425,2.5911,3.5969,2.6297
20230408,14.3258,0.0368,36.807,12.7355,0.0005,21.6795,24.1824,27.0165,8.383
20230503,3.5834,0.0303,30.5026,2.6583,0.2041,4.4762,5.1428,6.0517,3.3927
20230520,0.4255,0.0113,11.2547,0.3716,0.0002,0.5292,0.5629,0.5967,0.6207
20230525,0.3562,0.0185,18.5005,0.2416,0.0011,0.3526,0.3896,0.4081,0.9165
20230528,8.0252,0.0248,24.8815,7.5967,0.047,14.2772,15.3202,17.3815,6.3556
20230602,10.2131,0.0326,32.5982,8.0203,0.0016,18.1253,21.0264,23.0474,8.4602
20230604,0.4113,0.0128,12.7864,0.3583,0.0003,0.5373,0.5756,0.614,0.4467
20230607,6.1295,0.0292,29.1518,2.5952,0.0008,12.5649,15.3051,18.1327,7.0627
20230614,0.469,0.0109,10.8799,0.3813,0.0005,0.5771,0.6206,0.6642,0.7028
20230821,9.9664,0.0388,38.7558,7.1742,0.0054,14.8468,18.0631,21.8219,7.4712
20230902,0.3488,0.0218,21.7582,0.2181,0.0005,0.3486,0.3704,0.4356,0.9189
20230907,0.3839,0.023,22.9667,0.1841,0.0004,0.3449,0.4138,0.5745,1.0947
20230910,11.3437,0.0353,35.7409,9.1567,0.4834,16.0319,18.1121,21.4263,6.4084
20230915,14.4752,0.0378,38.1859,14.2744,0.4109,19.7895,21.1116,22.2071,6.0605
20230925,24.1406,0.0316,36.4724,25.2348,4.906,31.6428,32.5897,33.5367,7.6966
