idate,average,max_error,maximum,median,minimum,p80_threshold,p85_threshold,p90_threshold,sigma,0,1,2,3,4,5,6,7,8,9
,,,,,,,,,,20221007,,,,,,,,,
,,,,,,,,,,,2.9697,0.0161,16.1174,2.5432,0.0152,4.5882,5.023,5.5222,1.8919
,,,,,,,,,,20221022,,,,,,,,,
,,,,,,,,,,,3.7155,0.0225,22.4891,3.0002,0.0365,6.0987,6.7273,7.5356,2.6691
,,,,,,,,,,20221101,,,,,,,,,
,,,,,,,,,,,0.8424,0.0153,15.3278,0.7484,0.0133,0.9781,1.1006,1.2691,0.725
,,,,,,,,,,20221104,,,,,,,,,
,,,,,,,,,,,1.2079,0.0099,9.9205,0.8314,0.0195,1.6334,1.9007,2.376,1.0609
,,,,,,,,,,20230118,,,,,,,,,
,,,,,,,,,,,1.8466,0.0137,13.7589,1.2626,0.0267,2.7731,3.3911,4.0777,1.4901
,,,,,,,,,,20230207,,,,,,,,,
,,,,,,,,,,,2.5105,0.0142,14.3642,2.0989,0.1188,3.8083,4.25,4.8768,1.6863
,,,,,,,,,,20230209,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,20230214,,,,,,,,,
,,,,,,,,,,,0.6382,0.0143,14.3129,0.4141,0.0138,0.8574,1.0004,1.2149,0.9575
,,,,,,,,,,20230227,,,,,,,,,
,,,,,,,,,,,2.9699,0.0168,16.8557,2.3933,0.0585,4.8793,5.2488,5.7695,1.9995
,,,,,,,,,,20230403,,,,,,,,,
,,,,,,,,,,,1.4001,0.014,14.0134,1.2797,0.0203,1.8954,1.9794,2.0773,1.0532
,,,,,,,,,,20230405,,,,,,,,,
,,,,,,,,,,,0.1535,0.0103,10.3067,0.0722,0.0105,0.134,0.1649,0.2164,0.453
,,,,,,,,,,20230408,,,,,,,,,
,,,,,,,,,,,0.8275,0.0141,14.159,0.6089,0.0149,1.0898,1.2595,1.5,0.9728
,,,,,,,,,,20230503,,,,,,,,,
,,,,,,,,,,,0.5884,0.0077,7.8,0.5081,0.1243,0.746,0.8151,0.9225,0.4885
,,,,,,,,,,20230520,,,,,,,,,
,,,,,,,,,,,0.3972,0.0029,2.8833,0.3522,0.0103,0.493,0.539,0.6079,0.2373
,,,,,,,,,,20230525,,,,,,,,,
,,,,,,,,,,,0.1281,0.0087,8.7383,0.068,0.0069,0.1204,0.1379,0.1641,0.4184
,,,,,,,,,,20230528,,,,,,,,,
,,,,,,,,,,,1.2023,0.0079,7.9328,1.0361,0.0419,1.407,1.6911,1.9278,1.1966
,,,,,,,,,,20230530,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,20230602,,,,,,,,,
,,,,,,,,,,,1.0577,0.0109,10.9528,0.6729,0.0284,1.5469,1.6889,2.1477,1.3201
,,,,,,,,,,20230604,,,,,,,,,
,,,,,,,,,,,0.3882,0.0111,11.0944,0.3575,0.014,0.5015,0.5348,0.5902,0.3013
,,,,,,,,,,20230607,,,,,,,,,
,,,,,,,,,,,0.9295,0.0176,17.6428,0.5791,0.015,1.4428,1.6367,1.9364,1.2139
,,,,,,,,,,20230614,,,,,,,,,
,,,,,,,,,,,0.4878,0.0116,11.5796,0.4652,0.0141,0.5808,0.604,0.6502,0.4083
,,,,,,,,,,20230821,,,,,,,,,
,,,,,,,,,,,0.8088,0.0126,12.6153,0.7081,0.0151,0.9727,1.0735,1.2373,0.6913
,,,,,,,,,,20230902,,,,,,,,,
,,,,,,,,,,,0.1366,0.0116,11.6288,0.0917,0.0104,0.1498,0.1731,0.2079,0.3749
,,,,,,,,,,20230907,,,,,,,,,
,,,,,,,,,,,0.3293,0.0121,12.105,0.2625,0.0085,0.3956,0.4319,0.4924,0.5112
,,,,,,,,,,20230910,,,,,,,,,
,,,,,,,,,,,1.0652,0.02,20.1307,0.966,0.1258,1.2461,1.3461,1.4661,0.6403
,,,,,,,,,,20230915,,,,,,,,,
,,,,,,,,,,,1.8975,0.0161,16.2804,1.7835,0.1548,2.3802,2.6059,2.9284,1.0581
,,,,,,,,,,20230925,,,,,,,,,
,,,,,,,,,,,1.0264,0.0151,15.4993,0.9144,0.354,1.2325,1.293,1.3536,0.5531
